Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/terms/SQL,31,31,4100.0,4097.07497419872,4063.685400004033,4115.896300005261,0.0,0.17330342111350974,0.17330342111350974,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/SQL,3,3,4100.0,4092.8610333357938,4076.6469999798574,4107.675499981269,0.0,0.016771298817436428,0.016771298817436428,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/SSL,35,35,4100.0,4097.3849000043365,4052.2666000179015,4117.17400001362,0.0,0.19566515287009165,0.19566515287009165,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/SSL,8,8,4100.0,4086.6477500094334,4060.4674000060186,4109.936400025617,0.0,0.04472346351316381,0.04472346351316381,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/TCP,31,31,4100.0,4093.3425612879105,4042.6072999835014,4116.636499995366,0.0,0.17330342111350974,0.17330342111350974,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/TCP,3,3,4101.203799946234,4107.8466999849,4101.203799946234,4115.334499976598,0.0,0.016771298817436428,0.016771298817436428,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/TLS,40,40,4100.0,4092.050534998998,4052.2793999989517,4116.219399962574,0.0,0.22361731756581904,0.22361731756581904,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/TLS,7,7,4100.0,4098.262314285551,4084.677200007718,4113.199599960353,0.0,0.03913303057401833,0.03913303057401833,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/UDP,28,28,4100.0,4096.259878567902,4077.4259000318125,4114.545699965674,0.0,0.15653212229607333,0.15653212229607333,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/UDP,5,5,4100.0,4100.261580001097,4083.5477000218816,4111.819999990985,0.0,0.02795216469572738,0.02795216469572738,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/WebSocket,25,25,4100.0,4095.188748005312,4066.130199993495,4114.606700022705,0.0,0.1397608234786369,0.1397608234786369,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/WebSocket,3,3,4100.0,4101.501166665305,4098.503399989568,4103.280999988783,0.0,0.016771298817436428,0.016771298817436428,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/XML,34,34,4100.0,4095.2688000021117,4069.0426000510342,4117.78139998205,0.0,0.19007471993094618,0.19007471993094618,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/XML,9,9,4100.0,4094.5895444472426,4078.342199965846,4118.330600031186,0.0,0.050313896452309284,0.050313896452309284,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/terms/gRPC,30,30,4100.0,4098.365233337972,4066.988799953833,4115.835600008722,0.0,0.16771298817436428,0.16771298817436428,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
PUT,/terms/gRPC,3,3,4100.0,4095.9438999998383,4078.3700000029057,4108.317999984138,0.0,0.016771298817436428,0.016771298817436428,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
,Aggregated,2707,2707,4100.0,4095.697933654236,4035.9073000145145,4127.733600034844,0.0,15.133301966266803,15.133301966266803,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
